Instance,Initial Benefit (LKH),2-Opt Results,2-Opt Improvement (%),2-Opt Runtime (s),Reversed 2-Opt Results,Reversed 2-Opt Improvement (%),Reversed 2-Opt Runtime (s),Exchange Results,Exchange Improvement (%),Exchange Runtime (s),Reversed Exchange Results,Reversed Exchange Improvement (%),Reversed Exchange Runtime (s),Jump Results,Jump Improvement (%),Jump Runtime (s),Reversed Jump Results,Reversed Jump Improvement (%),Reversed Jump Runtime (s),Combined Results,Combined Improvement (%),Combined Runtime (s),ma2b average,ma2b best,cs2sa average,cs2sa best
eil51_n50_uncorr_10.ttp,6129.692033,6316.590764,3.05%,73.19363514,6361.856772,3.79%,91.60937583,6130.088433,0.01%,88.61196231,6130.088433,0.01%,49.94139464,6217.310238,1.43%,268.7990643,6217.310238,1.43%,131.3453413,6602.86459,7.72%,218.4932617,,,,
eil51_n50_uncorr-similar-weights_01.ttp,1238.332983,1288.084574,4.02%,18.88804411,1298.705415,4.88%,2.920535484,1301.273914,5.08%,6.095183962,1301.273914,5.08%,3.524954021,1341.444534,8.33%,22.26485728,1341.444534,8.33%,4.077688568,1329.711025,7.38%,40.02664197,,,,
eil51_n50_uncorr-similar-weights_02.ttp,3318.313912,3501.317625,5.51%,41.84220541,3490.156326,5.18%,20.95430718,3318.313912,0.00%,13.60850353,3318.313912,0.00%,13.56072102,3320.075127,0.05%,25.77442543,3320.075127,0.05%,17.33822728,3658.384914,10.25%,165.6169646,,,,
eil51_n50_uncorr-similar-weights_03.ttp,3890.930548,4128.81782,6.11%,42.8394057,4013.678962,3.15%,21.06613895,3890.930548,0.00%,20.89625205,3890.930548,0.00%,19.97969046,3890.930548,0.00%,44.3644001,3890.930548,0.00%,44.15236887,4510.897098,15.93%,190.4453068,,,,
eil51_n50_uncorr-similar-weights_04.ttp,2531.890084,2780.548847,9.82%,47.06535322,2638.841059,4.22%,27.55306003,2531.890084,0.00%,22.05254071,2531.890084,0.00%,22.20501982,2531.890084,0.00%,50.50557227,2531.890084,0.00%,53.08563983,2780.548847,9.82%,208.4457608,,,,
eil51_n50_uncorr-similar-weights_05.ttp,1373.183865,1373.183865,0.00%,39.94463876,1373.183865,0.00%,27.35898617,1373.183865,0.00%,26.80435047,1373.183865,0.00%,24.95763678,1373.183865,0.00%,58.2563833,1373.183865,0.00%,61.55144169,1373.183865,0.00%,218.0493297,,,,
eil51_n50_uncorr-similar-weights_06.ttp,1933.084001,1933.084001,0.00%,44.99568191,1933.084001,0.00%,32.58656423,1933.084001,0.00%,31.37275686,1933.084001,0.00%,30.71789496,1933.084001,0.00%,69.15688722,1933.084001,0.00%,71.41015714,1933.084001,0.00%,245.4748347,,,,
eil51_n50_uncorr-similar-weights_07.ttp,2133.301357,2133.301357,0.00%,48.78921887,2133.301357,0.00%,36.40628378,2133.301357,0.00%,35.28644858,2133.301357,0.00%,33.52497878,2133.301357,0.00%,79.03154801,2133.301357,0.00%,78.37707205,2133.301357,0.00%,261.5888599,,,,
eil51_n50_uncorr-similar-weights_08.ttp,2977.387958,2977.387958,0.00%,52.58119358,2977.387958,0.00%,39.77006595,2977.387958,0.00%,37.7519955,2977.387958,0.00%,38.67977637,2977.387958,0.00%,87.88423842,2977.387958,0.00%,83.88798804,2977.387958,0.00%,275.6650411,,,,
eil51_n50_uncorr-similar-weights_09.ttp,3890.323921,3894.326344,0.10%,54.37751679,3894.326344,0.10%,24.65966539,3894.326344,0.10%,39.50543655,3894.326344,0.10%,23.30590855,3894.326344,0.10%,79.91802071,3894.326344,0.10%,61.51417144,3894.326344,0.10%,317.0904568,,,,
eil51_n50_uncorr-similar-weights_10.ttp,5416.604559,5420.361199,0.07%,59.09070362,5420.361199,0.07%,27.61390399,5420.361199,0.07%,44.2678812,5420.361199,0.07%,25.54588092,5420.361199,0.07%,90.27535507,5420.361199,0.07%,66.88233316,5420.361199,0.07%,331.383394,,,,
