Instance	Selection	Indicator	PopulationSize	Reward	Hypervolume
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4038.1880330304357	8768714.396157008
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4044.910923449631	8737465.242099233
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4007.477303864111	8670868.305403179
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4076.70462568571	8813581.04947522
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4044.983148147634	8782269.671777582
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	3924.8580315066765	8383173.127946733
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4018.8937895831073	8764659.192628348
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4061.2781983828795	8829943.69852884
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4037.6963537959027	8717354.979438085
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4069.5648096880104	8815624.112532562
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4052.2997739671673	8784377.21908612
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4047.644643294707	8753854.715130573
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4059.4953877914936	8699168.36923845
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4047.644643294707	8742295.282993743
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4023.193343584086	8635985.114702066
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4077.3986899499323	8784545.123191914
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4054.174705242329	8702167.741890956
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4032.100436562435	8725619.72799495
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4060.525246848819	8769519.822921714
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4077.3986899499323	8825637.847441284
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4009.13592285458	8714104.259972164
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4054.4975571468394	8806659.585011723
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4071.466395882054	8830707.650186205
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4031.8520688246103	8761614.997528873
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4035.214159279285	8723676.436250525
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4026.0785698496106	8713873.49057236
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4052.2997739671673	8779266.461445283
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	3916.529887711532	8353243.845835506
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4054.4975571468394	8810786.476465734
eil76_n75_bounded-strongly-corr_01.ttp	BEST	LHV	50	4051.3555857715874	8831347.54783804
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	4035.214159279285	8735044.518492866
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	4059.4313513471634	8723016.328365795
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	4094.2636037205684	8873061.31716675
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	4054.174705242329	8698449.351449072
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	4089.7010035332014	8761578.751513122
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	4015.2254253670826	8431033.968220359
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	4051.3555857715874	8817359.81717556
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	3975.3689260757037	8749996.807343263
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	3960.303221911875	8659666.145453412
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	3975.513835621903	8725044.169528425
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	4047.644643294707	8756860.062623288
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	4032.100436562435	8729555.433344599
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	4049.1809333230613	8768381.016785672
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	3924.8580315066765	8385894.360844668
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	4050.6937895831074	8759850.126931524
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	4047.644643294707	8770574.975058174
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	4047.644643294707	8756860.062623288
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	4044.9054470468946	8756612.660298746
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	4047.644643294707	8752532.40729959
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	4026.738333008805	8744780.552008001
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	4027.145167384459	8696642.239692539
eil76_n75_bounded-strongly-corr_01.ttp	EXPONENTIAL	LHV	50	4051.3555857715874	8811227.990390822
