Instance	Selection	Indicator	PopulationSize	Reward	Hypervolume
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5507.656313690525	9567776.385018531
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5465.963475229971	9470186.129093658
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5422.851636978882	9535354.589936621
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5320.881667206272	9422111.580552751
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5354.226772004252	9429341.04484145
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5267.389061513741	9407662.00476307
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5445.63301185348	9454604.650915112
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5330.964617610224	9422360.130900137
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5395.468651043521	9557899.731360832
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5508.548411919527	9558171.356157396
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5282.88688069423	9447301.156538833
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5385.491636717196	9417334.243415697
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5422.2434500220215	9484369.056032086
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5391.256753195176	9584044.630384078
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5425.803506281173	9393352.502209432
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5419.029819014401	9565882.572625466
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5363.636886475045	9409534.187340219
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5500.072386000144	9612736.706745602
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5403.050619879797	9543369.92678752
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5490.268936102152	9562142.204792652
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5393.640045596786	9472018.936381532
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5502.5006812987685	9636812.042641846
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5349.93184690392	9389656.829695854
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5419.029819014401	9610848.60450968
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5453.300003146237	9478653.35310936
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5401.024866429066	9590212.213099446
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5324.2862181622395	9434656.857035184
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5398.529509288194	9586085.576243743
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5507.656313690525	9571186.960064793
eil76_n75_uncorr_01.ttp	BEST	LHV	50	5298.846118578533	9412989.760455884
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5484.384730320368	9539574.031237364
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5382.744579186538	9350329.359238856
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5302.166775405245	9330594.843933132
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5369.930300311832	9472898.991182938
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5494.317714969693	9509954.235041803
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5484.384730320368	9635356.495091258
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5454.685628295519	9457243.604917439
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5490.268936102152	9601501.753844712
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5401.024866429066	9436698.726313604
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5435.919036620756	9410260.746017542
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5382.744579186538	9306529.412750624
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5401.024866429066	9366584.385283519
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5490.268936102152	9574129.461756172
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5514.665860559197	9628072.346859924
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5273.957985909502	9282949.528035466
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5459.054556482507	9488000.154108644
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5298.846118578533	9421202.139802553
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5430.335938895122	9452725.34581361
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5325.115868374684	9354776.497863697
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5405.28026447854	9477468.452053962
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5514.665860559197	9597593.783519292
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5407.984417894531	9518691.697244724
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5349.93184690392	9381666.257241473
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5513.96661003204	9550796.709907627
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5401.024866429066	9341819.508304842
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5374.148446143273	9357708.588382997
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5364.794137925438	9412311.148813335
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5401.024866429066	9525993.238286607
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5514.880506271534	9600909.212083643
eil76_n75_uncorr_01.ttp	EXPONENTIAL	LHV	50	5349.954707613667	9419583.896408014
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5445.63301185348	9438999.28399893
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5313.197599189192	9438181.213705452
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5490.268936102152	9527751.794680389
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5514.880506271534	9562518.301259534
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5528.25483921189	9650095.857390638
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5514.880506271534	9625957.013416482
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5514.665860559197	9594395.875136545
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5507.656313690525	9541679.721575981
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5461.424525896272	9481063.30292293
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5490.268936102152	9553495.039833492
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5445.63301185348	9508341.087963616
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5346.91666055707	9405122.154728895
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5354.788027754175	9551046.598377561
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5384.728581596189	9518136.74469228
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5445.63301185348	9440711.95456608
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5500.072386000144	9595741.280020513
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5507.656313690525	9567447.784585772
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5399.2660613301005	9539709.663195271
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5398.0840058735075	9404110.536978733
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5508.865173099702	9588214.19613509
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5433.665189351894	9551862.340780905
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5423.5968733472855	9547912.199785694
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5508.865173099702	9549224.623465745
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5377.512011823087	9316634.632989682
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5490.268936102152	9537899.687453462
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5434.89228495538	9580028.14339923
eil76_n75_uncorr_01.ttp	HARMONIC	LHV	50	5500.072386000144	9596253.61543411
