eil51_n05_m20_multiple-strongly-corr_01.ttp:,204,794,1594,169,262.2964008,662.847777,599980
eil51_n05_m20_multiple-strongly-corr_01.ttp:,204,794,1594,169,262.2964008,662.847777,599980
eil51_n05_m20_multiple-strongly-corr_01.ttp:,204,794,1594,169,262.2964008,662.847777,599981
eil51_n05_m20_multiple-strongly-corr_01.ttp:,204,794,1594,169,262.2964008,662.847777,599981
eil51_n05_m20_multiple-strongly-corr_01.ttp:,204,794,1594,169,262.2964008,662.847777,599981
eil51_n05_m20_multiple-strongly-corr_01.ttp:,204,794,1594,169,262.2964008,662.847777,599981
eil51_n05_m20_multiple-strongly-corr_01.ttp:,204,794,1594,169,262.2964008,662.847777,599981
eil51_n05_m20_multiple-strongly-corr_01.ttp:,204,794,1594,169,262.2964008,662.847777,599981
eil51_n05_m20_multiple-strongly-corr_01.ttp:,204,794,1594,169,262.2964008,662.847777,599991
eil51_n05_m20_multiple-strongly-corr_01.ttp:,204,794,1594,169,262.2964008,662.847777,600836
eil51_n05_m20_multiple-strongly-corr_06.ttp:,536,5129,7929,176,261.0470626,4151.649005,599980
eil51_n05_m20_multiple-strongly-corr_06.ttp:,536,5129,7929,176,261.0470626,4151.649005,599980
eil51_n05_m20_multiple-strongly-corr_06.ttp:,536,5129,7929,176,261.0470626,4151.649005,599980
eil51_n05_m20_multiple-strongly-corr_06.ttp:,536,5129,7929,176,261.0470626,4151.649005,599980
eil51_n05_m20_multiple-strongly-corr_06.ttp:,536,5129,7929,176,261.0470626,4151.649005,599980
eil51_n05_m20_multiple-strongly-corr_06.ttp:,536,5129,7929,176,261.0470626,4151.649005,599981
eil51_n05_m20_multiple-strongly-corr_06.ttp:,536,5129,7929,176,261.0470626,4151.649005,599981
eil51_n05_m20_multiple-strongly-corr_06.ttp:,536,5129,7929,176,261.0470626,4151.649005,599981
eil51_n05_m20_multiple-strongly-corr_06.ttp:,536,5129,7929,176,261.0470626,4151.649005,599993
eil51_n05_m20_multiple-strongly-corr_06.ttp:,536,5129,7929,176,261.0470626,4151.649005,600387
eil51_n05_m20_multiple-strongly-corr_10.ttp:,948,8254,11954,176,294.7372544,6009.14958,599980
eil51_n05_m20_multiple-strongly-corr_10.ttp:,948,8254,11954,176,294.7372544,6009.14958,599980
eil51_n05_m20_multiple-strongly-corr_10.ttp:,948,8254,11954,176,294.7372544,6009.14958,599980
eil51_n05_m20_multiple-strongly-corr_10.ttp:,948,8254,11954,176,294.7372544,6009.14958,599980
eil51_n05_m20_multiple-strongly-corr_10.ttp:,948,8254,11954,176,294.7372544,6009.14958,599980
eil51_n05_m20_multiple-strongly-corr_10.ttp:,948,8254,11954,176,294.7372544,6009.14958,599981
eil51_n05_m20_multiple-strongly-corr_10.ttp:,948,8254,11954,176,294.7372544,6009.14958,599981
eil51_n05_m20_multiple-strongly-corr_10.ttp:,948,8254,11954,176,294.7372544,6009.14958,599981
eil51_n05_m20_multiple-strongly-corr_10.ttp:,948,8254,11954,176,294.7372544,6009.14958,599981
eil51_n05_m20_multiple-strongly-corr_10.ttp:,948,8254,11954,176,294.7372544,6009.14958,600181
eil51_n05_m20_uncorr_01.ttp:,216,768,3351,176,224.1654819,1985.832215,599980
eil51_n05_m20_uncorr_01.ttp:,216,768,3351,176,224.1654819,1985.832215,599980
eil51_n05_m20_uncorr_01.ttp:,216,768,3351,176,224.1654819,1985.832215,599980
eil51_n05_m20_uncorr_01.ttp:,216,768,3351,176,224.1654819,1985.832215,599980
eil51_n05_m20_uncorr_01.ttp:,216,768,3351,176,224.1654819,1985.832215,599980
eil51_n05_m20_uncorr_01.ttp:,216,768,3351,176,224.1654819,1985.832215,599980
eil51_n05_m20_uncorr_01.ttp:,216,768,3351,176,224.1654819,1985.832215,599981
eil51_n05_m20_uncorr_01.ttp:,216,768,3351,176,224.1654819,1985.832215,599981
eil51_n05_m20_uncorr_01.ttp:,216,768,3351,176,224.1654819,1985.832215,599987
eil51_n05_m20_uncorr_01.ttp:,216,768,3351,176,224.1654819,1985.832215,599989
eil51_n05_m20_uncorr_06.ttp:,1558,3641,7848,169,262.0152059,3878.46963,599980
eil51_n05_m20_uncorr_06.ttp:,1558,3641,7848,169,262.0152059,3878.46963,599980
eil51_n05_m20_uncorr_06.ttp:,1558,3641,7848,169,262.0152059,3878.46963,599980
eil51_n05_m20_uncorr_06.ttp:,1558,3641,7848,169,262.0152059,3878.46963,599980
eil51_n05_m20_uncorr_06.ttp:,1558,3641,7848,169,262.0152059,3878.46963,599981
eil51_n05_m20_uncorr_06.ttp:,1558,3641,7848,169,262.0152059,3878.46963,599981
eil51_n05_m20_uncorr_06.ttp:,1558,3641,7848,169,262.0152059,3878.46963,599981
eil51_n05_m20_uncorr_06.ttp:,1558,3641,7848,169,262.0152059,3878.46963,599981
eil51_n05_m20_uncorr_06.ttp:,1558,3641,7848,169,262.0152059,3878.46963,599981
eil51_n05_m20_uncorr_06.ttp:,1558,3641,7848,169,262.0152059,3878.46963,599983
eil51_n05_m20_uncorr_10.ttp:,2389,8727,9423,176,267.7831611,3837.04326,599980
eil51_n05_m20_uncorr_10.ttp:,2389,8727,9423,176,267.7831611,3837.04326,599980
eil51_n05_m20_uncorr_10.ttp:,2389,8727,9423,176,267.7831611,3837.04326,599980
eil51_n05_m20_uncorr_10.ttp:,2389,8727,9423,176,267.7831611,3837.04326,599980
eil51_n05_m20_uncorr_10.ttp:,2389,8727,9423,176,267.7831611,3837.04326,599980
eil51_n05_m20_uncorr_10.ttp:,2389,8727,9423,176,267.7831611,3837.04326,599981
